Наименование,Артикул,Валюта,"Цена, с НДС",В наличии,Доступен для заказа,Краткая информация,Описание,Наклейка,Статус,Теги,Meta Title,Meta Description,URL,Срок изготовления,Доставка,Производитель,Серия,Код товара,Вес товара с упаковкой (брутто),Потребительский класс,Макс. температура теплоносителя,Высота упаковки товара,Гарантийный документ,Глубина упаковки товара,Максимальное рабочее давление,Ширина упаковки товара,Условная пропускная способность встроенного термостатического вентиля Kvs,Гарантийный срок,Условная пропускная способность регулировочного вентиля Kvs,Высота товара,Глубина товара,Диаметр коллектора,Ширина товара,Количество выходов коллектора,Количество в упаковке,Диаметр отвода коллектора,Вес товара (нетто),Макс. температура окружающей среды,Тип коллектора,Страна производства,Материал уплотнителей o-ring,Мин. рабочая температура,Серия,Макс. рабочая температура,Межосевое расстояние,Набор крепежных элементов в комплекте,Макс. рабочее давление,Диаметр трубы,Комплект поставки,Изображения,Изображения,Изображения,Изображения,Изображения
"RTE 54.217 Коллектор на 4-5 выходов (вверх-вниз), Ду 25 с кронштейнами Royal Thermo",,RUB,13221.0,1,1,,"<p>Купить RTE 54.217 Коллектор на 4-5 выходов (вверх-вниз), Ду 25 с кронштейнами Royal Thermo из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на RTE 54.217 Коллектор на 4-5 выходов (вверх-вниз), Ду 25 с кронштейнами Royal Thermo актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим RTE 54.217 Коллектор на 4-5 выходов (вверх-вниз), Ду 25 с кронштейнами Royal Thermo напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p>",,1,,"Купить RTE 54.217 Коллектор на 4-5 выходов (вверх-вниз), Ду 25 с кронштейнами Royal Thermo с доставкой на uralenergotel.ru","Купить RTE 54.217 Коллектор на 4-5 выходов (вверх-вниз), Ду 25 с кронштейнами Royal Thermo по низкой цене у официального дилера ТД УЭТ",rte_54_217,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",Royal Thermo,RTE 54.217,RTE 54.217,9.57,Премиум,100,10.5,Гарантийный талон,63.5,10,27.5,,5 лет,,10.5,63.5,1,27.5,4-5,1,1,9.57,50,Распределительный,РОССИЯ,EPDM,5,RTE 54.217,110,125,Да,10,1 НР,Коллектор с кронштейнами,https://rkcdn.ru/products/d56b6941-4620-11ed-b732-005056013a69/src.jpg,,,,
"RTE 52.107 Коллектор нерж. в сборе с расходомерами 1"" ВР-3/4"" НР, 7 выходов Royal Thermo",,RUB,26100.0,1,1,,"<p>Купить RTE 52.107 Коллектор нерж. в сборе с расходомерами 1"" ВР-3/4"" НР, 7 выходов Royal Thermo из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на RTE 52.107 Коллектор нерж. в сборе с расходомерами 1"" ВР-3/4"" НР, 7 выходов Royal Thermo актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим RTE 52.107 Коллектор нерж. в сборе с расходомерами 1"" ВР-3/4"" НР, 7 выходов Royal Thermo напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Применяются в качестве распределителя теплоносителя в контуры теплого пола. Для удобства балансировки системы напольного отопления на коллектор установлены расходомеры для визуального контроля и необходимой регулировки расхода теплоносителя в отдельных контурах теплого пола.</p>

<ul class=""ul"">
<li>Нержавеющая сталь</li>
<li>Межосевое расстояние 200 мм</li>
<li>Максимальная рабочая температура 100&deg;С</li>
<li>Рабочее давление 10 Бар</li>
</ul>",,1,,"Купить RTE 52.107 Коллектор нерж. в сборе с расходомерами 1"" ВР-3/4"" НР, 7 выходов Royal Thermo с доставкой на uralenergotel.ru","Купить RTE 52.107 Коллектор нерж. в сборе с расходомерами 1"" ВР-3/4"" НР, 7 выходов Royal Thermo по низкой цене у официального дилера ТД УЭТ",rte_52_107,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",Royal Thermo,RTE 52.107,RTE 52.107,3.7,Стандарт,70,9,Паспорт,57,6,26,2.5,5 лет,1.24,8.5,42.9,1,26.9,7,1,3/4,3.7,50,С расходомерами,ИТАЛИЯ,,,RTE 52.107,,,,,,,https://rkcdn.ru/products/2cc46394-9b22-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/6c8bb814-9b22-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/4382ddf9-9b22-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/5e2ce04f-9b22-11ed-b733-005056013a69/src.jpg,
"RTE 51.110 Коллектор нерж. в сборе универсальный 1"" ВР-3/4"" НР, 10 выходов Royal Thermo",,RUB,29250.0,1,1,,"<p>Купить RTE 51.110 Коллектор нерж. в сборе универсальный 1"" ВР-3/4"" НР, 10 выходов Royal Thermo из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на RTE 51.110 Коллектор нерж. в сборе универсальный 1"" ВР-3/4"" НР, 10 выходов Royal Thermo актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим RTE 51.110 Коллектор нерж. в сборе универсальный 1"" ВР-3/4"" НР, 10 выходов Royal Thermo напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Применяются в качестве распределителя теплоносителя в системах отопления и водоснабжения. Их применение позволяет доставлять теплоноситель в каждый отопительный прибор напрямую без дополнительных соединений. Это значительно упрощает процесс монтажа.</p>

<ul class=""ul"">
<li>Нержавеющая сталь</li>
<li>Межосевое расстояние 200 мм</li>
<li>Максимальная рабочая температура 100&deg;С</li>
<li>Рабочее давление 10 Бар</li>
</ul>",,1,,"Купить RTE 51.110 Коллектор нерж. в сборе универсальный 1"" ВР-3/4"" НР, 10 выходов Royal Thermo с доставкой на uralenergotel.ru","Купить RTE 51.110 Коллектор нерж. в сборе универсальный 1"" ВР-3/4"" НР, 10 выходов Royal Thermo по низкой цене у официального дилера ТД УЭТ",rte_51_110,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",Royal Thermo,RTE 51.110,RTE 51.110,4.7,Стандарт,100,10,Паспорт,73,10,26,2.5,5 лет,3.8,8.5,57.9,1,26.9,10,1,3/4,4.7,50,Универсальный,ИТАЛИЯ,,,RTE 51.110,,,,,,,https://rkcdn.ru/products/bbaaf7b2-9b23-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/d021d3a7-9b23-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/e270522c-9b23-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/f422e0ff-9b23-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/9970e65d-9b23-11ed-b733-005056013a69/src.jpg
"RTE 52.104 Коллектор нерж. в сборе с расходомерами 1"" ВР-3/4"" НР, 4 выхода Royal Thermo",,RUB,17100.0,1,1,,"<p>Купить RTE 52.104 Коллектор нерж. в сборе с расходомерами 1"" ВР-3/4"" НР, 4 выхода Royal Thermo из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на RTE 52.104 Коллектор нерж. в сборе с расходомерами 1"" ВР-3/4"" НР, 4 выхода Royal Thermo актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим RTE 52.104 Коллектор нерж. в сборе с расходомерами 1"" ВР-3/4"" НР, 4 выхода Royal Thermo напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Применяются в качестве распределителя теплоносителя в контуры теплого пола. Для удобства балансировки системы напольного отопления на коллектор установлены расходомеры для визуального контроля и необходимой регулировки расхода теплоносителя в отдельных контурах теплого пола.</p>

<ul class=""ul"">
<li>Нержавеющая сталь</li>
<li>Межосевое расстояние 200 мм</li>
<li>Максимальная рабочая температура 100&deg;С</li>
<li>Рабочее давление 10 Бар</li>
</ul>",,1,,"Купить RTE 52.104 Коллектор нерж. в сборе с расходомерами 1"" ВР-3/4"" НР, 4 выхода Royal Thermo с доставкой на uralenergotel.ru","Купить RTE 52.104 Коллектор нерж. в сборе с расходомерами 1"" ВР-3/4"" НР, 4 выхода Royal Thermo по низкой цене у официального дилера ТД УЭТ",rte_52_104,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",Royal Thermo,RTE 52.104,RTE 52.104,2.5,Стандарт,70,10,Паспорт,37,6,26,2.5,5 лет,1.24,8.5,27.9,1,26.9,4,1,3/4,2.5,50,С расходомерами,ИТАЛИЯ,,,RTE 52.104,,,,,,,https://rkcdn.ru/products/2cc4639a-9b22-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/4382de01-9b22-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/5e2ce047-9b22-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/6c8bb81c-9b22-11ed-b733-005056013a69/src.jpg,
"RTE 52.106 Коллектор нерж. в сборе с расходомерами 1"" ВР-3/4"" НР, 6 выходов Royal Thermo",,RUB,22950.0,1,1,,"<p>Купить RTE 52.106 Коллектор нерж. в сборе с расходомерами 1"" ВР-3/4"" НР, 6 выходов Royal Thermo из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на RTE 52.106 Коллектор нерж. в сборе с расходомерами 1"" ВР-3/4"" НР, 6 выходов Royal Thermo актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим RTE 52.106 Коллектор нерж. в сборе с расходомерами 1"" ВР-3/4"" НР, 6 выходов Royal Thermo напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Применяются в качестве распределителя теплоносителя в контуры теплого пола. Для удобства балансировки системы напольного отопления на коллектор установлены расходомеры для визуального контроля и необходимой регулировки расхода теплоносителя в отдельных контурах теплого пола.</p>

<ul class=""ul"">
<li>Нержавеющая сталь</li>
<li>Межосевое расстояние 200 мм</li>
<li>Максимальная рабочая температура 100&deg;С</li>
<li>Рабочее давление 10 Бар</li>
</ul>",,1,,"Купить RTE 52.106 Коллектор нерж. в сборе с расходомерами 1"" ВР-3/4"" НР, 6 выходов Royal Thermo с доставкой на uralenergotel.ru","Купить RTE 52.106 Коллектор нерж. в сборе с расходомерами 1"" ВР-3/4"" НР, 6 выходов Royal Thermo по низкой цене у официального дилера ТД УЭТ",rte_52_106,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",Royal Thermo,RTE 52.106,RTE 52.106,3.3,Стандарт,70,10,Паспорт,57,6,26,2.5,5 лет,1.24,10,57,1,26,6,1,3/4,3.3,50,Универсальный,ИТАЛИЯ,,,RTE 52.106,,,,,,,https://rkcdn.ru/products/2cc46396-9b22-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/6c8bb816-9b22-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/5e2ce04d-9b22-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/4382ddfb-9b22-11ed-b733-005056013a69/src.jpg,
"RTE 51.107 Коллектор нерж. в сборе универсальный 1"" ВР-3/4"" НР, 7 выходов Royal Thermo",,RUB,22050.0,1,1,,"<p>Купить RTE 51.107 Коллектор нерж. в сборе универсальный 1"" ВР-3/4"" НР, 7 выходов Royal Thermo из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на RTE 51.107 Коллектор нерж. в сборе универсальный 1"" ВР-3/4"" НР, 7 выходов Royal Thermo актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим RTE 51.107 Коллектор нерж. в сборе универсальный 1"" ВР-3/4"" НР, 7 выходов Royal Thermo напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Применяются в качестве распределителя теплоносителя в системах отопления и водоснабжения. Их применение позволяет доставлять теплоноситель в каждый отопительный прибор напрямую без дополнительных соединений. Это значительно упрощает процесс монтажа.</p>

<ul class=""ul"">
<li>Нержавеющая сталь</li>
<li>Межосевое расстояние 200 мм</li>
<li>Максимальная рабочая температура 100&deg;С</li>
<li>Рабочее давление 10 Бар</li>
</ul>",,1,,"Купить RTE 51.107 Коллектор нерж. в сборе универсальный 1"" ВР-3/4"" НР, 7 выходов Royal Thermo с доставкой на uralenergotel.ru","Купить RTE 51.107 Коллектор нерж. в сборе универсальный 1"" ВР-3/4"" НР, 7 выходов Royal Thermo по низкой цене у официального дилера ТД УЭТ",rte_51_107,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",Royal Thermo,RTE 51.107,RTE 51.107,3.6,Стандарт,100,10,Паспорт,57,10,26,2.5,5 лет,3.8,8.5,42.9,1,26.9,7,1,3/4,3.6,50,Универсальный,ИТАЛИЯ,,,RTE 51.107,,,,,,,https://rkcdn.ru/products/9970e667-9b23-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/bbaaf7bc-9b23-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/d021d3b3-9b23-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/e2705236-9b23-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/f422e10b-9b23-11ed-b733-005056013a69/src.jpg
"RTE 51.109 Коллектор нерж. в сборе универсальный 1"" ВР-3/4"" НР, 9 выходов Royal Thermo",,RUB,26100.0,1,1,,"<p>Купить RTE 51.109 Коллектор нерж. в сборе универсальный 1"" ВР-3/4"" НР, 9 выходов Royal Thermo из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на RTE 51.109 Коллектор нерж. в сборе универсальный 1"" ВР-3/4"" НР, 9 выходов Royal Thermo актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим RTE 51.109 Коллектор нерж. в сборе универсальный 1"" ВР-3/4"" НР, 9 выходов Royal Thermo напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Применяются в качестве распределителя теплоносителя в системах отопления и водоснабжения. Их применение позволяет доставлять теплоноситель в каждый отопительный прибор напрямую без дополнительных соединений. Это значительно упрощает процесс монтажа.</p>

<ul class=""ul"">
<li>Нержавеющая сталь</li>
<li>Межосевое расстояние 200 мм</li>
<li>Максимальная рабочая температура 100&deg;С</li>
<li>Рабочее давление 10 Бар</li>
</ul>",,1,,"Купить RTE 51.109 Коллектор нерж. в сборе универсальный 1"" ВР-3/4"" НР, 9 выходов Royal Thermo с доставкой на uralenergotel.ru","Купить RTE 51.109 Коллектор нерж. в сборе универсальный 1"" ВР-3/4"" НР, 9 выходов Royal Thermo по низкой цене у официального дилера ТД УЭТ",rte_51_109,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",Royal Thermo,RTE 51.109,RTE 51.109,4.3,Стандарт,100,10,Паспорт,58,10,26,2.5,5 лет,3.8,8.5,52.9,1,26.9,9,1,3/4,4.3,50,Универсальный,ИТАЛИЯ,,,RTE 51.109,,,,,,,https://rkcdn.ru/products/9970e661-9b23-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/bbaaf7b8-9b23-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/d021d3a1-9b23-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/e2705232-9b23-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/f422e0f9-9b23-11ed-b733-005056013a69/src.jpg
"RTE 54.218 Коллектор на 6-7 выходов (вверх-вниз), Ду 25 с кронштейнами Royal Thermo",,RUB,16875.0,1,1,,"<p>Купить RTE 54.218 Коллектор на 6-7 выходов (вверх-вниз), Ду 25 с кронштейнами Royal Thermo из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на RTE 54.218 Коллектор на 6-7 выходов (вверх-вниз), Ду 25 с кронштейнами Royal Thermo актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим RTE 54.218 Коллектор на 6-7 выходов (вверх-вниз), Ду 25 с кронштейнами Royal Thermo напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p>",,1,,"Купить RTE 54.218 Коллектор на 6-7 выходов (вверх-вниз), Ду 25 с кронштейнами Royal Thermo с доставкой на uralenergotel.ru","Купить RTE 54.218 Коллектор на 6-7 выходов (вверх-вниз), Ду 25 с кронштейнами Royal Thermo по низкой цене у официального дилера ТД УЭТ",rte_54_218,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",Royal Thermo,RTE 54.218,RTE 54.218,13.77,Премиум,100,10.5,Гарантийный талон,88,10,28,,5 лет,,10.5,88,1,28,6-7,1,1,13.77,50,Распределительный,РОССИЯ,EPDM,5,RTE 54.218,110,125,Да,10,1 НР,Коллектор с кронштейнами,https://rkcdn.ru/products/e117d135-4620-11ed-b732-005056013a69/src.jpg,,,,
"RTO 62.002 Коллектор с регулировочными вентилями 3/4""×1/2"", 2 выхода Royal Thermo",,RUB,1400.0,0,1,,"<p>Купить RTO 62.002 Коллектор с регулировочными вентилями 3/4""×1/2"", 2 выхода Royal Thermo из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на RTO 62.002 Коллектор с регулировочными вентилями 3/4""×1/2"", 2 выхода Royal Thermo актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим RTO 62.002 Коллектор с регулировочными вентилями 3/4""×1/2"", 2 выхода Royal Thermo напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Коллекторы применяются для распределения и регулировки расхода потока на трубопроводах систем холодного и горячего водоснабжения. Преимуществом использования коллекторов со встроенными регулировочными вентилями является то, что с их помощью можно легко и быстро перекрыть контур подачи воды и установить или заменить приборы без отключения или опорожнения всей системы.</p>",,1,,"Купить RTO 62.002 Коллектор с регулировочными вентилями 3/4""×1/2"", 2 выхода Royal Thermo с доставкой на uralenergotel.ru","Купить RTO 62.002 Коллектор с регулировочными вентилями 3/4""×1/2"", 2 выхода Royal Thermo по низкой цене у официального дилера ТД УЭТ",rto_62_002,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",Royal Thermo,OPTIMAL,RTO 62.002,0.336,Стандарт,110,7.5,Паспорт,6,,9.5,,5 лет,,8.5,8.7,,3.3,2,8,,0.32,50,,КНР,EPDM,-30,OPTIMAL,110,50,Нет,,3/4 × 1/2,,https://rkcdn.ru/products/e95c9bfa-3825-11ee-b736-005056013a69/src.jpg,,,,
"RTE 51.106 Коллектор нерж. в сборе универсальный 1"" ВР-3/4"" НР, 6 выходов Royal Thermo",,RUB,19800.0,1,1,,"<p>Купить RTE 51.106 Коллектор нерж. в сборе универсальный 1"" ВР-3/4"" НР, 6 выходов Royal Thermo из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на RTE 51.106 Коллектор нерж. в сборе универсальный 1"" ВР-3/4"" НР, 6 выходов Royal Thermo актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим RTE 51.106 Коллектор нерж. в сборе универсальный 1"" ВР-3/4"" НР, 6 выходов Royal Thermo напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Применяются в качестве распределителя теплоносителя в системах отопления и водоснабжения. Их применение позволяет доставлять теплоноситель в каждый отопительный прибор напрямую без дополнительных соединений. Это значительно упрощает процесс монтажа.</p>

<ul class=""ul"">
<li>Нержавеющая сталь</li>
<li>Межосевое расстояние 200 мм</li>
<li>Максимальная рабочая температура 100&deg;С</li>
<li>Рабочее давление 10 Бар</li>
</ul>",,1,,"Купить RTE 51.106 Коллектор нерж. в сборе универсальный 1"" ВР-3/4"" НР, 6 выходов Royal Thermo с доставкой на uralenergotel.ru","Купить RTE 51.106 Коллектор нерж. в сборе универсальный 1"" ВР-3/4"" НР, 6 выходов Royal Thermo по низкой цене у официального дилера ТД УЭТ",rte_51_106,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",Royal Thermo,RTE 51.106,RTE 51.106,3.2,Стандарт,100,10,Паспорт,57,10,26,2.5,5 лет,3.8,8.5,37.9,1,26.9,6,1,3/4,3.2,50,Универсальный,ИТАЛИЯ,,,RTE 51.106,,,,,,,https://rkcdn.ru/products/9970e657-9b23-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/bbaaf7aa-9b23-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/d021d3ad-9b23-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/e2705226-9b23-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/f422e107-9b23-11ed-b733-005056013a69/src.jpg
