Наименование,Артикул,Валюта,"Цена, с НДС",В наличии,Доступен для заказа,Краткая информация,Описание,Наклейка,Статус,Теги,Meta Title,Meta Description,URL,Срок изготовления,Доставка,Производитель,Серия,Код товара,Вес товара с упаковкой (брутто),Посадочный диаметр вентиляционного канала,Высота упаковки товара,Посадочный размер вентиляционного канала,Глубина упаковки товара,Ширина упаковки товара,Длина товара,Гарантийный срок,Температурный диапазон эксплуатации,"Диаметр воздуховода, мм",Серия,Высота товара,Глубина товара,Ширина товара,Вес товара (нетто),Изображения
DCr 250 Воздушный клапан SHUFT,,RUB,2250.0,1,1,,"<p>Купить DCr 250 Воздушный клапан SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на DCr 250 Воздушный клапан SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим DCr 250 Воздушный клапан SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Ручные запорно-регулирующие клапаны DCr предназначены для регулирования потока воздуха при пусконаладке или перекрывание воздуховода при остановке системы вентиляции. Применяются в системах вентиляции и кондиционирования круглого сечения при температуре перемещаемого воздуха от -40 до +70&deg;С.</p>

<p>Корпус и заслонка клапана изготовлены из оцинкованной стали. Ручка ручного привода с возможноситью фиксирования её в необходимом положении.Крепление клапана к другим элементам системы вентиляции производится при помощи ниппельного соединения.Клапан может устанавливаться в любом положении.</p>

<p><strong>Гарантия&nbsp;&mdash; 1&nbsp;год.</strong></p>",,1,,Купить DCr 250 Воздушный клапан SHUFT с доставкой на uralenergotel.ru,Купить DCr 250 Воздушный клапан SHUFT по низкой цене у официального дилера ТД УЭТ,dcr_250,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,DCr,DCr 250,2.06,250,25,250,25,26,,12 мес,DCr,250,DCr,25,26,25,1.56,https://rkcdn.ru/products/68efc20b-e05c-11ed-b733-005056013a69/src.jpg
DCr 355 Воздушный клапан SHUFT,,RUB,3170.0,0,1,,"<p>Купить DCr 355 Воздушный клапан SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на DCr 355 Воздушный клапан SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим DCr 355 Воздушный клапан SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Ручные запорно-регулирующие клапаны DCr предназначены для регулирования потока воздуха при пусконаладке или перекрывание воздуховода при остановке системы вентиляции. Применяются в системах вентиляции и кондиционирования круглого сечения при температуре перемещаемого воздуха от -40 до +70&deg;С.</p>

<p>Корпус и заслонка клапана изготовлены из оцинкованной стали. Ручка ручного привода с возможноситью фиксирования её в необходимом положении.Крепление клапана к другим элементам системы вентиляции производится при помощи ниппельного соединения.Клапан может устанавливаться в любом положении.</p>

<p><strong>Гарантия&nbsp;&mdash; 1&nbsp;год.</strong></p>",,1,,Купить DCr 355 Воздушный клапан SHUFT с доставкой на uralenergotel.ru,Купить DCr 355 Воздушный клапан SHUFT по низкой цене у официального дилера ТД УЭТ,dcr_355,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,DCr,DCr 355,3,355,37.8,355,36,35.5,,12 мес,DCr,355,DCr,37.8,35.5,36.5,2.5,https://rkcdn.ru/products/68efc213-e05c-11ed-b733-005056013a69/src.jpg
FKr 1000x500 Гибкая вставка SHUFT,,RUB,4580.0,1,1,,"<p>Купить FKr 1000x500 Гибкая вставка SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на FKr 1000x500 Гибкая вставка SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим FKr 1000x500 Гибкая вставка SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Гибкая вставка предназначена для соединения различных элементов вентиляционных систем прямоугольного сечения соответствующего типоразмера, выполняет функцию виброгашения для пресечения распространения вибрации отдельных элементов на&nbsp;всю вентиляционную систему. Корпус вставки выполнен из&nbsp;оцинкованной стали в&nbsp;середине закреплена лента ПВХ обеспечивающая герметичность канала.</p>

<p><strong>Гарантия&nbsp;&mdash; 1&nbsp;год.</strong></p>",,1,,Купить FKr 1000x500 Гибкая вставка SHUFT с доставкой на uralenergotel.ru,Купить FKr 1000x500 Гибкая вставка SHUFT по низкой цене у официального дилера ТД УЭТ,fkr_1000x500,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,FKr,FKr 1000x500,4.26,,8,1000*500,104.5,54,,12 мес,,,FKr,8,104,50,4.26,https://rkcdn.ru/products/37a672b6-e059-11ed-b733-005056013a69/src.jpg
FKr 300x150 Гибкая вставка SHUFT,,RUB,2240.0,1,1,,"<p>Купить FKr 300x150 Гибкая вставка SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на FKr 300x150 Гибкая вставка SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим FKr 300x150 Гибкая вставка SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Гибкая вставка предназначена для соединения различных элементов вентиляционных систем прямоугольного сечения соответствующего типоразмера, выполняет функцию виброгашения для пресечения распространения вибрации отдельных элементов на&nbsp;всю вентиляционную систему. Корпус вставки выполнен из&nbsp;оцинкованной стали в&nbsp;середине закреплена лента ПВХ обеспечивающая герметичность канала.</p>

<p><strong>Гарантия&nbsp;&mdash; 1&nbsp;год.</strong></p>",,1,,Купить FKr 300x150 Гибкая вставка SHUFT с доставкой на uralenergotel.ru,Купить FKr 300x150 Гибкая вставка SHUFT по низкой цене у официального дилера ТД УЭТ,fkr_300x150,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,FKr,FKr 300x150,1.48,,8,300*150,34,19,,12 мес,,,FKr,8,30,18,1.48,https://rkcdn.ru/products/37a672c6-e059-11ed-b733-005056013a69/src.jpg
FKr 500x250 Гибкая вставка SHUFT,,RUB,2730.0,1,1,,"<p>Купить FKr 500x250 Гибкая вставка SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на FKr 500x250 Гибкая вставка SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим FKr 500x250 Гибкая вставка SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Гибкая вставка предназначена для соединения различных элементов вентиляционных систем прямоугольного сечения соответствующего типоразмера, выполняет функцию виброгашения для пресечения распространения вибрации отдельных элементов на&nbsp;всю вентиляционную систему. Корпус вставки выполнен из&nbsp;оцинкованной стали в&nbsp;середине закреплена лента ПВХ обеспечивающая герметичность канала.</p>

<p><strong>Гарантия&nbsp;&mdash; 1&nbsp;год.</strong></p>",,1,,Купить FKr 500x250 Гибкая вставка SHUFT с доставкой на uralenergotel.ru,Купить FKr 500x250 Гибкая вставка SHUFT по низкой цене у официального дилера ТД УЭТ,fkr_500x250,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,FKr,FKr 500x250,2.46,,8,500*250,54,29,,12 мес,,,FKr,29.2,13,54.2,2.46,https://rkcdn.ru/products/37a672bc-e059-11ed-b733-005056013a69/src.jpg
FKr 500x300 Гибкая вставка SHUFT,,RUB,2930.0,1,1,,"<p>Купить FKr 500x300 Гибкая вставка SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на FKr 500x300 Гибкая вставка SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим FKr 500x300 Гибкая вставка SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Гибкая вставка предназначена для соединения различных элементов вентиляционных систем прямоугольного сечения соответствующего типоразмера, выполняет функцию виброгашения для пресечения распространения вибрации отдельных элементов на&nbsp;всю вентиляционную систему. Корпус вставки выполнен из&nbsp;оцинкованной стали в&nbsp;середине закреплена лента ПВХ обеспечивающая герметичность канала.</p>

<p><strong>Гарантия&nbsp;&mdash; 1&nbsp;год.</strong></p>",,1,,Купить FKr 500x300 Гибкая вставка SHUFT с доставкой на uralenergotel.ru,Купить FKr 500x300 Гибкая вставка SHUFT по низкой цене у официального дилера ТД УЭТ,fkr_500x300,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,FKr,FKr 500x300,2.5,,10,500*300,54,34,,12 мес,,,FKr,34.2,13,54.2,2.5,https://rkcdn.ru/products/37a672b8-e059-11ed-b733-005056013a69/src.jpg
FKr 600x300 Гибкая вставка SHUFT,,RUB,3200.0,1,1,,"<p>Купить FKr 600x300 Гибкая вставка SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на FKr 600x300 Гибкая вставка SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим FKr 600x300 Гибкая вставка SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Гибкая вставка предназначена для соединения различных элементов вентиляционных систем прямоугольного сечения соответствующего типоразмера, выполняет функцию виброгашения для пресечения распространения вибрации отдельных элементов на&nbsp;всю вентиляционную систему. Корпус вставки выполнен из&nbsp;оцинкованной стали в&nbsp;середине закреплена лента ПВХ обеспечивающая герметичность канала.</p>

<p><strong>Гарантия&nbsp;&mdash; 1&nbsp;год.</strong></p>",,1,,Купить FKr 600x300 Гибкая вставка SHUFT с доставкой на uralenergotel.ru,Купить FKr 600x300 Гибкая вставка SHUFT по низкой цене у официального дилера ТД УЭТ,fkr_600x300,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,FKr,FKr 600x300,2.8,,8,600*300,64,34,,12 мес,,,FKr,7.5,60,30,2.8,https://rkcdn.ru/products/37a672be-e059-11ed-b733-005056013a69/src.jpg
FKr 600x350 Гибкая вставка SHUFT,,RUB,3640.0,1,1,,"<p>Купить FKr 600x350 Гибкая вставка SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на FKr 600x350 Гибкая вставка SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим FKr 600x350 Гибкая вставка SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Гибкая вставка предназначена для соединения различных элементов вентиляционных систем прямоугольного сечения соответствующего типоразмера, выполняет функцию виброгашения для пресечения распространения вибрации отдельных элементов на&nbsp;всю вентиляционную систему. Корпус вставки выполнен из&nbsp;оцинкованной стали в&nbsp;середине закреплена лента ПВХ обеспечивающая герметичность канала.</p>

<p><strong>Гарантия&nbsp;&mdash; 1&nbsp;год.</strong></p>",,1,,Купить FKr 600x350 Гибкая вставка SHUFT с доставкой на uralenergotel.ru,Купить FKr 600x350 Гибкая вставка SHUFT по низкой цене у официального дилера ТД УЭТ,fkr_600x350,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,FKr,FKr 600x350,3.14,,8,600*350,64,39,,12 мес,,,FKr,7.5,60,35,3.14,https://rkcdn.ru/products/37a672c0-e059-11ed-b733-005056013a69/src.jpg
FKr 700x400 Гибкая вставка SHUFT,,RUB,3880.0,1,1,,"<p>Купить FKr 700x400 Гибкая вставка SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на FKr 700x400 Гибкая вставка SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим FKr 700x400 Гибкая вставка SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Гибкая вставка предназначена для соединения различных элементов вентиляционных систем прямоугольного сечения соответствующего типоразмера, выполняет функцию виброгашения для пресечения распространения вибрации отдельных элементов на&nbsp;всю вентиляционную систему. Корпус вставки выполнен из&nbsp;оцинкованной стали в&nbsp;середине закреплена лента ПВХ обеспечивающая герметичность канала.</p>

<p><strong>Гарантия&nbsp;&mdash; 1&nbsp;год.</strong></p>",,1,,Купить FKr 700x400 Гибкая вставка SHUFT с доставкой на uralenergotel.ru,Купить FKr 700x400 Гибкая вставка SHUFT по низкой цене у официального дилера ТД УЭТ,fkr_700x400,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,FKr,FKr 700x400,3.3,,8,700*400,74,44,,12 мес,,,FKr,7.5,72,42,3.3,https://rkcdn.ru/products/37a672c2-e059-11ed-b733-005056013a69/src.jpg
FKr 800x500 Гибкая вставка SHUFT,,RUB,4250.0,1,1,,"<p>Купить FKr 800x500 Гибкая вставка SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на FKr 800x500 Гибкая вставка SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим FKr 800x500 Гибкая вставка SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Гибкая вставка предназначена для соединения различных элементов вентиляционных систем прямоугольного сечения соответствующего типоразмера, выполняет функцию виброгашения для пресечения распространения вибрации отдельных элементов на&nbsp;всю вентиляционную систему. Корпус вставки выполнен из&nbsp;оцинкованной стали в&nbsp;середине закреплена лента ПВХ обеспечивающая герметичность канала.</p>

<p><strong>Гарантия&nbsp;&mdash; 1&nbsp;год.</strong></p>",,1,,Купить FKr 800x500 Гибкая вставка SHUFT с доставкой на uralenergotel.ru,Купить FKr 800x500 Гибкая вставка SHUFT по низкой цене у официального дилера ТД УЭТ,fkr_800x500,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,FKr,FKr 800x500,3.8,,8,800*500,84,54,,12 мес,,,FKr,54.2,13,84.2,3.8,https://rkcdn.ru/products/37a672c4-e059-11ed-b733-005056013a69/src.jpg
DCGAr 160 Воздушный клапан SHUFT,,RUB,2120.0,1,1,,"<p>Купить DCGAr 160 Воздушный клапан SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на DCGAr 160 Воздушный клапан SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим DCGAr 160 Воздушный клапан SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><h4>Описание</h4>
<p>Воздушный клапан для круглых воздуховодов с резиновым уплотнением на запорных лопатках подготовлен для установки электропривода и предназначен для настройки расхода воздуха в канале, для регулирования и наладки систем вентиляции, для перекрытия воздушных каналов во время остановки работы системы вентиляции. Корпус и заслонка клапана изготовлены из оцинкованной стали. Клапан может устанавливаться в любом положении. Запорные лопатки оснащены резиновым уплотнением, повышающим степень герметичности в закрытом канале.</p>

<h4>Гарантия — 1 год.</h4>",,1,,Купить DCGAr 160 Воздушный клапан SHUFT с доставкой на uralenergotel.ru,Купить DCGAr 160 Воздушный клапан SHUFT по низкой цене у официального дилера ТД УЭТ,dcgar_160,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,DCGAr,DCGAr 160,2,160,26,160,30,13,,12 мес,,160,DCGAr,26,30,13,1.5,https://rkcdn.ru/products/1c3fb53e-e05c-11ed-b733-005056013a69/src.jpg
GSKRSK007_ RSK-400 Обратный клапан SHUFT,,RUB,4310.0,1,1,,"<p>Купить GSKRSK007_ RSK-400 Обратный клапан SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на GSKRSK007_ RSK-400 Обратный клапан SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим GSKRSK007_ RSK-400 Обратный клапан SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><h4>Описание</h4>

<p>Обратный клапан с&nbsp;подпружиненными лопастями предназначен для автоматического перекрывания круглых воздуховодов при отключении систем вентиляции.
Корпус клапана выполнен из&nbsp;оцинкованной стали, лопасти из&nbsp;листового алюминия. Крепление клапана к&nbsp;другим элементам системы вентиляции производится при помощи ниппельного соединения. Клапан может быть установлен в&nbsp;вертикальном положении.</p>

<p><strong>Гарантия&nbsp;&mdash; 1&nbsp;год.</strong></p>",,1,,Купить GSKRSK007_ RSK-400 Обратный клапан SHUFT с доставкой на uralenergotel.ru,Купить GSKRSK007_ RSK-400 Обратный клапан SHUFT по низкой цене у официального дилера ТД УЭТ,gskrsk007_,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,RSK,GSKRSK007_,1.91,,20,400,40,40,,12 мес,,400,RSK,20,40,40,1.41,https://rkcdn.ru/products/6eadff6a-e1bb-11ed-b733-005056013a69/src.jpg
DCGAr 125 Воздушный клапан SHUFT,,RUB,1990.0,1,1,,"<p>Купить DCGAr 125 Воздушный клапан SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на DCGAr 125 Воздушный клапан SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим DCGAr 125 Воздушный клапан SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><h4>Описание</h4>
<p>Воздушный клапан для круглых воздуховодов с резиновым уплотнением на запорных лопатках подготовлен для установки электропривода и предназначен для настройки расхода воздуха в канале, для регулирования и наладки систем вентиляции, для перекрытия воздушных каналов во время остановки работы системы вентиляции. Корпус и заслонка клапана изготовлены из оцинкованной стали. Клапан может устанавливаться в любом положении. Запорные лопатки оснащены резиновым уплотнением, повышающим степень герметичности в закрытом канале.</p>

<h4>Гарантия — 1 год.</h4>",,1,,Купить DCGAr 125 Воздушный клапан SHUFT с доставкой на uralenergotel.ru,Купить DCGAr 125 Воздушный клапан SHUFT по низкой цене у официального дилера ТД УЭТ,dcgar_125,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,DCGAr,DCGAr 125,1.4,125,26,125,28,13,,12 мес,,125,DCGAr,26,28,13,0.9,https://rkcdn.ru/products/1c3fb536-e05c-11ed-b733-005056013a69/src.jpg
DCGAr 250 Воздушный клапан SHUFT,,RUB,2910.0,1,1,,"<p>Купить DCGAr 250 Воздушный клапан SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на DCGAr 250 Воздушный клапан SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим DCGAr 250 Воздушный клапан SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><h4>Описание</h4>
<p>Воздушный клапан для круглых воздуховодов с резиновым уплотнением на запорных лопатках подготовлен для установки электропривода и предназначен для настройки расхода воздуха в канале, для регулирования и наладки систем вентиляции, для перекрытия воздушных каналов во время остановки работы системы вентиляции. Корпус и заслонка клапана изготовлены из оцинкованной стали. Клапан может устанавливаться в любом положении. Запорные лопатки оснащены резиновым уплотнением, повышающим степень герметичности в закрытом канале.</p>

<h4>Гарантия — 1 год.</h4>",,1,,Купить DCGAr 250 Воздушный клапан SHUFT с доставкой на uralenergotel.ru,Купить DCGAr 250 Воздушный клапан SHUFT по низкой цене у официального дилера ТД УЭТ,dcgar_250,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,DCGAr,DCGAr 250,2.4,250,36,250,26,20,,12 мес,,250,DCGAr,36,26,20,1.9,https://rkcdn.ru/products/1c3fb534-e05c-11ed-b733-005056013a69/src.jpg
