Наименование,Артикул,Валюта,"Цена, с НДС",В наличии,Доступен для заказа,Краткая информация,Описание,Наклейка,Статус,Теги,Meta Title,Meta Description,URL,Срок изготовления,Доставка,Производитель,Серия,Код товара,Вес товара с упаковкой (брутто),Посадочный диаметр вентиляционного канала,Высота упаковки товара,Посадочный размер вентиляционного канала,Глубина упаковки товара,Ширина упаковки товара,"Диаметр воздуховода, мм",Высота товара,Глубина товара,Ширина товара,Вес товара (нетто),Изображения
SRr 500*250/1000 Шумоглушитель SHUFT,,RUB,11020.0,1,1,,"<p>Купить SRr 500*250/1000 Шумоглушитель SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на SRr 500*250/1000 Шумоглушитель SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим SRr 500*250/1000 Шумоглушитель SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Шумоглушитель cерии SRr предназначен для снижения шума от&nbsp;вентилятора в&nbsp;канале воздуховода, как на&nbsp;притоке, так и&nbsp;на&nbsp;вытяжке при непосредственной установке в&nbsp;канал систем вентиляции и&nbsp;кондиционирования.</p>

<p>Перемещаемый воздух не&nbsp;должен содержать твердых, клеящихся или агрессивных примесей. Максимальная рабочая температура воздуха составляет 60&deg;С,&nbsp;максимальная допустимая скорость 10&nbsp;м/с.&nbsp; Шумоглушитель изготавливается из&nbsp;оцинкованной стали с&nbsp;поглощающим материалом из&nbsp;минерального волокна. Для достижения максимальной эффективности шумоглушения рекомендуется предусмотреть перед шумоглушителем прямой участок длинной не&nbsp;менее 1,5&nbsp;м.</p>

<p><strong>Гарантия&nbsp;&mdash; 12&nbsp;месяцев</strong></p>",,1,,Купить SRr 500*250/1000 Шумоглушитель SHUFT с доставкой на uralenergotel.ru,Купить SRr 500*250/1000 Шумоглушитель SHUFT по низкой цене у официального дилера ТД УЭТ,srr_500x250_1000,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,CFW,SRr 500*250/1000,14.52,,29,500*250,101,54,,29,101,54,14.02,https://rkcdn.ru/products/44d99fc1-67f8-11eb-b729-005056010604/src.jpg
SRr 500*300/1000 Шумоглушитель SHUFT,,RUB,12100.0,1,1,,"<p>Купить SRr 500*300/1000 Шумоглушитель SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на SRr 500*300/1000 Шумоглушитель SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим SRr 500*300/1000 Шумоглушитель SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Шумоглушитель cерии SRr предназначен для снижения шума от&nbsp;вентилятора в&nbsp;канале воздуховода, как на&nbsp;притоке, так и&nbsp;на&nbsp;вытяжке при непосредственной установке в&nbsp;канал систем вентиляции и&nbsp;кондиционирования.</p>

<p>Перемещаемый воздух не&nbsp;должен содержать твердых, клеящихся или агрессивных примесей. Максимальная рабочая температура воздуха составляет 60&deg;С,&nbsp;максимальная допустимая скорость 10&nbsp;м/с.&nbsp; Шумоглушитель изготавливается из&nbsp;оцинкованной стали с&nbsp;поглощающим материалом из&nbsp;минерального волокна. Для достижения максимальной эффективности шумоглушения рекомендуется предусмотреть перед шумоглушителем прямой участок длинной не&nbsp;менее 1,5&nbsp;м.</p>

<p><strong>Гарантия&nbsp;&mdash; 12&nbsp;месяцев</strong></p>",,1,,Купить SRr 500*300/1000 Шумоглушитель SHUFT с доставкой на uralenergotel.ru,Купить SRr 500*300/1000 Шумоглушитель SHUFT по низкой цене у официального дилера ТД УЭТ,srr_500x300_1000,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,CFW,SRr 500*300/1000,16,,30,500*300,101,54,,30,101,54,15.5,https://rkcdn.ru/products/1b6bca45-686f-11eb-b729-005056010604/src.jpg
SRr 600*300/1000 Шумоглушитель SHUFT,,RUB,12950.0,1,1,,"<p>Купить SRr 600*300/1000 Шумоглушитель SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на SRr 600*300/1000 Шумоглушитель SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим SRr 600*300/1000 Шумоглушитель SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Шумоглушитель cерии SRr предназначен для снижения шума от&nbsp;вентилятора в&nbsp;канале воздуховода, как на&nbsp;притоке, так и&nbsp;на&nbsp;вытяжке при непосредственной установке в&nbsp;канал систем вентиляции и&nbsp;кондиционирования.</p>

<p>Перемещаемый воздух не&nbsp;должен содержать твердых, клеящихся или агрессивных примесей. Максимальная рабочая температура воздуха составляет 60&deg;С,&nbsp;максимальная допустимая скорость 10&nbsp;м/с.&nbsp; Шумоглушитель изготавливается из&nbsp;оцинкованной стали с&nbsp;поглощающим материалом из&nbsp;минерального волокна. Для достижения максимальной эффективности шумоглушения рекомендуется предусмотреть перед шумоглушителем прямой участок длинной не&nbsp;менее 1,5&nbsp;м.</p>

<p><strong>Гарантия&nbsp;&mdash; 12&nbsp;месяцев</strong></p>",,1,,Купить SRr 600*300/1000 Шумоглушитель SHUFT с доставкой на uralenergotel.ru,Купить SRr 600*300/1000 Шумоглушитель SHUFT по низкой цене у официального дилера ТД УЭТ,srr_600x300_1000,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,CFW,SRr 600*300/1000,18.84,,34,600*300,101,64,,34,101,64,18.34,https://rkcdn.ru/products/2ccc39f1-67f5-11eb-b729-005056010604/src.jpg
SRr 600*350/1000 Шумоглушитель SHUFT,,RUB,13780.0,1,1,,"<p>Купить SRr 600*350/1000 Шумоглушитель SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на SRr 600*350/1000 Шумоглушитель SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим SRr 600*350/1000 Шумоглушитель SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Шумоглушитель cерии SRr предназначен для снижения шума от&nbsp;вентилятора в&nbsp;канале воздуховода, как на&nbsp;притоке, так и&nbsp;на&nbsp;вытяжке при непосредственной установке в&nbsp;канал систем вентиляции и&nbsp;кондиционирования.</p>

<p>Перемещаемый воздух не&nbsp;должен содержать твердых, клеящихся или агрессивных примесей. Максимальная рабочая температура воздуха составляет 60&deg;С,&nbsp;максимальная допустимая скорость 10&nbsp;м/с.&nbsp; Шумоглушитель изготавливается из&nbsp;оцинкованной стали с&nbsp;поглощающим материалом из&nbsp;минерального волокна. Для достижения максимальной эффективности шумоглушения рекомендуется предусмотреть перед шумоглушителем прямой участок длинной не&nbsp;менее 1,5&nbsp;м.</p>

<p><strong>Гарантия&nbsp;&mdash; 12&nbsp;месяцев</strong></p>",,1,,Купить SRr 600*350/1000 Шумоглушитель SHUFT с доставкой на uralenergotel.ru,Купить SRr 600*350/1000 Шумоглушитель SHUFT по низкой цене у официального дилера ТД УЭТ,srr_600x350_1000,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,CFW,SRr 600*350/1000,19.4,,39,600*350,101,64,,39,101,64,18.9,https://rkcdn.ru/products/9a89c7af-67f3-11eb-b729-005056010604/src.jpg
SRr 700*400/1000 Шумоглушитель SHUFT,,RUB,17380.0,1,1,,"<p>Купить SRr 700*400/1000 Шумоглушитель SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на SRr 700*400/1000 Шумоглушитель SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим SRr 700*400/1000 Шумоглушитель SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Шумоглушитель cерии SRr предназначен для снижения шума от&nbsp;вентилятора в&nbsp;канале воздуховода, как на&nbsp;притоке, так и&nbsp;на&nbsp;вытяжке при непосредственной установке в&nbsp;канал систем вентиляции и&nbsp;кондиционирования.</p>

<p>Перемещаемый воздух не&nbsp;должен содержать твердых, клеящихся или агрессивных примесей. Максимальная рабочая температура воздуха составляет 60&deg;С,&nbsp;максимальная допустимая скорость 10&nbsp;м/с.&nbsp; Шумоглушитель изготавливается из&nbsp;оцинкованной стали с&nbsp;поглощающим материалом из&nbsp;минерального волокна. Для достижения максимальной эффективности шумоглушения рекомендуется предусмотреть перед шумоглушителем прямой участок длинной не&nbsp;менее 1,5&nbsp;м.</p>

<p><strong>Гарантия&nbsp;&mdash; 12&nbsp;месяцев</strong></p>",,1,,Купить SRr 700*400/1000 Шумоглушитель SHUFT с доставкой на uralenergotel.ru,Купить SRr 700*400/1000 Шумоглушитель SHUFT по низкой цене у официального дилера ТД УЭТ,srr_700x400_1000,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,CFW,SRr 700*400/1000,22.8,,44,700*400,101,74,,44,101,74,22.3,https://rkcdn.ru/products/60ae6a54-6868-11eb-b729-005056010604/src.jpg
SRr 800*500/1000 Шумоглушитель SHUFT,,RUB,19890.0,1,1,,"<p>Купить SRr 800*500/1000 Шумоглушитель SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на SRr 800*500/1000 Шумоглушитель SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим SRr 800*500/1000 Шумоглушитель SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Шумоглушитель cерии SRr предназначен для снижения шума от&nbsp;вентилятора в&nbsp;канале воздуховода, как на&nbsp;притоке, так и&nbsp;на&nbsp;вытяжке при непосредственной установке в&nbsp;канал систем вентиляции и&nbsp;кондиционирования.</p>

<p>Перемещаемый воздух не&nbsp;должен содержать твердых, клеящихся или агрессивных примесей. Максимальная рабочая температура воздуха составляет 60&deg;С,&nbsp;максимальная допустимая скорость 10&nbsp;м/с.&nbsp; Шумоглушитель изготавливается из&nbsp;оцинкованной стали с&nbsp;поглощающим материалом из&nbsp;минерального волокна. Для достижения максимальной эффективности шумоглушения рекомендуется предусмотреть перед шумоглушителем прямой участок длинной не&nbsp;менее 1,5&nbsp;м.</p>

<p><strong>Гарантия&nbsp;&mdash; 12&nbsp;месяцев</strong></p>",,1,,Купить SRr 800*500/1000 Шумоглушитель SHUFT с доставкой на uralenergotel.ru,Купить SRr 800*500/1000 Шумоглушитель SHUFT по низкой цене у официального дилера ТД УЭТ,srr_800x500_1000,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,CFW,SRr 800*500/1000,28.5,,54,800*500,101,84,,54,101,84,28,https://rkcdn.ru/products/44d99fcb-67f8-11eb-b729-005056010604/src.jpg
SRSr 400*200/1000 Шумоглушитель SHUFT,,RUB,10790.0,1,1,,"<p>Купить SRSr 400*200/1000 Шумоглушитель SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на SRSr 400*200/1000 Шумоглушитель SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим SRSr 400*200/1000 Шумоглушитель SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Шумоглушитель cерии SRSr предназначен для снижения шума от&nbsp;вентилятора в&nbsp;канале воздуховода, как на&nbsp;притоке, так и на&nbsp;вытяжке при непосредственной установке в&nbsp;канал систем вентиляции и&nbsp;кондиционирования.</p>

<p>Перемещаемый воздух не&nbsp;должен содержать твердых, клеящихся или агрессивных примесей. Максимальная рабочая температура воздуха составляет 60&deg;С, максимальная допустимая скорость 10&nbsp;м/с. Шумоглушитель изготавливается из&nbsp;оцинкованной стали с&nbsp;поглощающим материалом из&nbsp;минерального волокна.
Для достижения максимальной эффективности шумоглушения рекомендуется предусмотреть перед шумоглушителем прямой участок длинной не&nbsp;менее 1,5&nbsp;м.</p>

<p><strong>Гарантия&nbsp;&mdash; 12&nbsp;месяцев</strong></p>",,1,,Купить SRSr 400*200/1000 Шумоглушитель SHUFT с доставкой на uralenergotel.ru,Купить SRSr 400*200/1000 Шумоглушитель SHUFT по низкой цене у официального дилера ТД УЭТ,srsr_400x200_1000,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,EHR,SRSr 400*200/1000,13.26,,24,400*200,101,44,,24,101,44,12.76,https://rkcdn.ru/products/18b5260d-67f8-11eb-b729-005056010604/src.jpg
SRSr 500*250/1000 Шумоглушитель SHUFT,,RUB,14380.0,1,1,,"<p>Купить SRSr 500*250/1000 Шумоглушитель SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на SRSr 500*250/1000 Шумоглушитель SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим SRSr 500*250/1000 Шумоглушитель SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Шумоглушитель cерии SRSr предназначен для снижения шума от&nbsp;вентилятора в&nbsp;канале воздуховода, как на&nbsp;притоке, так и на&nbsp;вытяжке при непосредственной установке в&nbsp;канал систем вентиляции и&nbsp;кондиционирования.</p>

<p>Перемещаемый воздух не&nbsp;должен содержать твердых, клеящихся или агрессивных примесей. Максимальная рабочая температура воздуха составляет 60&deg;С, максимальная допустимая скорость 10&nbsp;м/с. Шумоглушитель изготавливается из&nbsp;оцинкованной стали с&nbsp;поглощающим материалом из&nbsp;минерального волокна.
Для достижения максимальной эффективности шумоглушения рекомендуется предусмотреть перед шумоглушителем прямой участок длинной не&nbsp;менее 1,5&nbsp;м.</p>

<p><strong>Гарантия&nbsp;&mdash; 12&nbsp;месяцев</strong></p>",,1,,Купить SRSr 500*250/1000 Шумоглушитель SHUFT с доставкой на uralenergotel.ru,Купить SRSr 500*250/1000 Шумоглушитель SHUFT по низкой цене у официального дилера ТД УЭТ,srsr_500x250_1000,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,EHR,SRSr 500*250/1000,20.3,,29,500*250,101,54,,29,101,54,19.8,https://rkcdn.ru/products/bc51f4a3-67f0-11eb-b729-005056010604/src.jpg
SRSr 500*300/1000 Шумоглушитель SHUFT,,RUB,16180.0,1,1,,"<p>Купить SRSr 500*300/1000 Шумоглушитель SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на SRSr 500*300/1000 Шумоглушитель SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим SRSr 500*300/1000 Шумоглушитель SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Шумоглушитель cерии SRSr предназначен для снижения шума от&nbsp;вентилятора в&nbsp;канале воздуховода, как на&nbsp;притоке, так и на&nbsp;вытяжке при непосредственной установке в&nbsp;канал систем вентиляции и&nbsp;кондиционирования.</p>

<p>Перемещаемый воздух не&nbsp;должен содержать твердых, клеящихся или агрессивных примесей. Максимальная рабочая температура воздуха составляет 60&deg;С, максимальная допустимая скорость 10&nbsp;м/с. Шумоглушитель изготавливается из&nbsp;оцинкованной стали с&nbsp;поглощающим материалом из&nbsp;минерального волокна.
Для достижения максимальной эффективности шумоглушения рекомендуется предусмотреть перед шумоглушителем прямой участок длинной не&nbsp;менее 1,5&nbsp;м.</p>

<p><strong>Гарантия&nbsp;&mdash; 12&nbsp;месяцев</strong></p>",,1,,Купить SRSr 500*300/1000 Шумоглушитель SHUFT с доставкой на uralenergotel.ru,Купить SRSr 500*300/1000 Шумоглушитель SHUFT по низкой цене у официального дилера ТД УЭТ,srsr_500x300_1000,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,EHR,SRSr 500*300/1000,21,,31.3,500*300,101,54,,31.3,101,54,20.5,https://rkcdn.ru/products/9a89c7bb-67f3-11eb-b729-005056010604/src.jpg
SRSr 600*300/1000 Шумоглушитель SHUFT,,RUB,16660.0,1,1,,"<p>Купить SRSr 600*300/1000 Шумоглушитель SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на SRSr 600*300/1000 Шумоглушитель SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим SRSr 600*300/1000 Шумоглушитель SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Шумоглушитель cерии SRSr предназначен для снижения шума от&nbsp;вентилятора в&nbsp;канале воздуховода, как на&nbsp;притоке, так и на&nbsp;вытяжке при непосредственной установке в&nbsp;канал систем вентиляции и&nbsp;кондиционирования.</p>

<p>Перемещаемый воздух не&nbsp;должен содержать твердых, клеящихся или агрессивных примесей. Максимальная рабочая температура воздуха составляет 60&deg;С, максимальная допустимая скорость 10&nbsp;м/с. Шумоглушитель изготавливается из&nbsp;оцинкованной стали с&nbsp;поглощающим материалом из&nbsp;минерального волокна.
Для достижения максимальной эффективности шумоглушения рекомендуется предусмотреть перед шумоглушителем прямой участок длинной не&nbsp;менее 1,5&nbsp;м.</p>

<p><strong>Гарантия&nbsp;&mdash; 12&nbsp;месяцев</strong></p>",,1,,Купить SRSr 600*300/1000 Шумоглушитель SHUFT с доставкой на uralenergotel.ru,Купить SRSr 600*300/1000 Шумоглушитель SHUFT по низкой цене у официального дилера ТД УЭТ,srsr_600x300_1000,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,EHR,SRSr 600*300/1000,22.2,,34,600*300,101,64.3,,34,101,64.3,21.7,https://rkcdn.ru/products/22f39ffe-6873-11eb-b729-005056010604/src.jpg
SRSr 600*350/1000 Шумоглушитель SHUFT,,RUB,18580.0,1,1,,"<p>Купить SRSr 600*350/1000 Шумоглушитель SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на SRSr 600*350/1000 Шумоглушитель SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим SRSr 600*350/1000 Шумоглушитель SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Шумоглушитель cерии SRSr предназначен для снижения шума от&nbsp;вентилятора в&nbsp;канале воздуховода, как на&nbsp;притоке, так и на&nbsp;вытяжке при непосредственной установке в&nbsp;канал систем вентиляции и&nbsp;кондиционирования.</p>

<p>Перемещаемый воздух не&nbsp;должен содержать твердых, клеящихся или агрессивных примесей. Максимальная рабочая температура воздуха составляет 60&deg;С, максимальная допустимая скорость 10&nbsp;м/с. Шумоглушитель изготавливается из&nbsp;оцинкованной стали с&nbsp;поглощающим материалом из&nbsp;минерального волокна.
Для достижения максимальной эффективности шумоглушения рекомендуется предусмотреть перед шумоглушителем прямой участок длинной не&nbsp;менее 1,5&nbsp;м.</p>

<p><strong>Гарантия&nbsp;&mdash; 12&nbsp;месяцев</strong></p>",,1,,Купить SRSr 600*350/1000 Шумоглушитель SHUFT с доставкой на uralenergotel.ru,Купить SRSr 600*350/1000 Шумоглушитель SHUFT по низкой цене у официального дилера ТД УЭТ,srsr_600x350_1000,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,EHR,SRSr 600*350/1000,23.56,,39,600*350,101,64,,39,101,64,23.06,https://rkcdn.ru/products/1f9b1a40-686c-11eb-b729-005056010604/src.jpg
SRSr 700*400/1000 Шумоглушитель SHUFT,,RUB,24570.0,1,1,,"<p>Купить SRSr 700*400/1000 Шумоглушитель SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на SRSr 700*400/1000 Шумоглушитель SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим SRSr 700*400/1000 Шумоглушитель SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Шумоглушитель cерии SRSr предназначен для снижения шума от&nbsp;вентилятора в&nbsp;канале воздуховода, как на&nbsp;притоке, так и на&nbsp;вытяжке при непосредственной установке в&nbsp;канал систем вентиляции и&nbsp;кондиционирования.</p>

<p>Перемещаемый воздух не&nbsp;должен содержать твердых, клеящихся или агрессивных примесей. Максимальная рабочая температура воздуха составляет 60&deg;С, максимальная допустимая скорость 10&nbsp;м/с. Шумоглушитель изготавливается из&nbsp;оцинкованной стали с&nbsp;поглощающим материалом из&nbsp;минерального волокна.
Для достижения максимальной эффективности шумоглушения рекомендуется предусмотреть перед шумоглушителем прямой участок длинной не&nbsp;менее 1,5&nbsp;м.</p>

<p><strong>Гарантия&nbsp;&mdash; 12&nbsp;месяцев</strong></p>",,1,,Купить SRSr 700*400/1000 Шумоглушитель SHUFT с доставкой на uralenergotel.ru,Купить SRSr 700*400/1000 Шумоглушитель SHUFT по низкой цене у официального дилера ТД УЭТ,srsr_700x400_1000,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,EHR,SRSr 700*400/1000,30.2,,44,700*400,101,74,,44,101,74,29.7,https://rkcdn.ru/products/a7978594-686c-11eb-b729-005056010604/src.jpg
