Наименование,Артикул,Валюта,"Цена, с НДС",В наличии,Доступен для заказа,Краткая информация,Описание,Наклейка,Статус,Теги,Meta Title,Meta Description,URL,Срок изготовления,Доставка,Производитель,Серия,Код товара,Вес товара с упаковкой (брутто),Высота упаковки товара,Посадочный размер вентиляционного канала,Глубина упаковки товара,Ширина упаковки товара,"Диаметр воздуховода, мм",Макс. напор,Высота товара,Глубина товара,Ширина товара,Вес товара (нетто),Страна производства,Тип фильтра,Тип сечения,Изображения
FBCr 160 Фильтр-бокс (корпус с материалом) SHUFT,,RUB,3310.0,1,1,,"<p>Купить FBCr 160 Фильтр-бокс (корпус с материалом) SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на FBCr 160 Фильтр-бокс (корпус с материалом) SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим FBCr 160 Фильтр-бокс (корпус с материалом) SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Воздушный фильтр предназначен для очистки от&nbsp;пыли наружного и&nbsp;рециркуляционного воздуха в&nbsp;системах приточной и&nbsp;вытяжной вентиляции. Фильтруемый воздух не&nbsp;должен содержать агрессивных газов и&nbsp;паров. Корпус фильтра выполнен из&nbsp;оцинкованной стали. В&nbsp;качестве фильтрующих вставок используется синтетический материал с&nbsp;классом очистки G3(EU3). Корпус фильтра снабжен круглыми патрубками с&nbsp;резиновыми уплотнителями для подсоединения к&nbsp;другим элементам системы. Фильтр может устанавливаться вертикально или горизонтально.</p>

<p>Примечание: По&nbsp;запросу может быть изготовлен фильтр для круглых каналов карманного типа, любого класса очистки.</p>

<p>Гарантия&nbsp;&mdash; 12&nbsp;месяцев.</p>",,1,,Купить FBCr 160 Фильтр-бокс (корпус с материалом) SHUFT с доставкой на uralenergotel.ru,Купить FBCr 160 Фильтр-бокс (корпус с материалом) SHUFT по низкой цене у официального дилера ТД УЭТ,fbcr_160,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,WHR,FBCr 160,2.34,22.6,160,25,25,160,,22.6,25,25.6,1.84,РОССИЯ,,,https://rkcdn.ru/products/abdacf4e-e1ce-11ed-b733-005056013a69/src.jpg
FBCr 200 Фильтр-бокс (корпус с материалом) SHUFT,,RUB,3700.0,1,1,,"<p>Купить FBCr 200 Фильтр-бокс (корпус с материалом) SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на FBCr 200 Фильтр-бокс (корпус с материалом) SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим FBCr 200 Фильтр-бокс (корпус с материалом) SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Воздушный фильтр предназначен для очистки от&nbsp;пыли наружного и&nbsp;рециркуляционного воздуха в&nbsp;системах приточной и&nbsp;вытяжной вентиляции. Фильтруемый воздух не&nbsp;должен содержать агрессивных газов и&nbsp;паров. Корпус фильтра выполнен из&nbsp;оцинкованной стали. В&nbsp;качестве фильтрующих вставок используется синтетический материал с&nbsp;классом очистки G3(EU3). Корпус фильтра снабжен круглыми патрубками с&nbsp;резиновыми уплотнителями для подсоединения к&nbsp;другим элементам системы. Фильтр может устанавливаться вертикально или горизонтально.</p>

<p>Примечание: По&nbsp;запросу может быть изготовлен фильтр для круглых каналов карманного типа, любого класса очистки.</p>

<p>Гарантия&nbsp;&mdash; 12&nbsp;месяцев.</p>",,1,,Купить FBCr 200 Фильтр-бокс (корпус с материалом) SHUFT с доставкой на uralenergotel.ru,Купить FBCr 200 Фильтр-бокс (корпус с материалом) SHUFT по низкой цене у официального дилера ТД УЭТ,fbcr_200,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,WHR,FBCr 200,2.88,26.4,200,29.4,25,200,,26.4,29.4,25,2.38,РОССИЯ,,,https://rkcdn.ru/products/abdacf4c-e1ce-11ed-b733-005056013a69/src.jpg
FBRr-K 800x500 Фильтр-бокс (корпус) SHUFT,,RUB,10610.0,1,1,,"<p>Купить FBRr-K 800x500 Фильтр-бокс (корпус) SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на FBRr-K 800x500 Фильтр-бокс (корпус) SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим FBRr-K 800x500 Фильтр-бокс (корпус) SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Воздушные фильтры cерии FBRr-K предназначены для очистки от пыли наружного и рециркуляционного воздуха в системах приточной и вытяжной вентиляции.</p>

<p>Применяются в системах вентиляции и кондиционирования прямоугольного сечения.Фильтруемый воздух не должен содержать агрессивных газов и паров. Допустимая температура перемещаемого воздуха от –40 до +70&deg;С.</p>

<p>Корпус изготовлен из оцинкованной стали.Фильтрующие вставки FRKr - рамки с каркасной сеткой из оцинкованной стали и материалом класса очистки (G3-EU3) доступны опционально. Фильтры FBRr-K можно устанавливать в любом положении.</p>",,1,,Купить FBRr-K 800x500 Фильтр-бокс (корпус) SHUFT с доставкой на uralenergotel.ru,Купить FBRr-K 800x500 Фильтр-бокс (корпус) SHUFT по низкой цене у официального дилера ТД УЭТ,fbrr_k_800x500,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,FBRr-K 800x500,FBRr-K 800x500,13.2,52,800*500,24,84.4,800,,54.4,23.8,84.4,8.2,РОССИЯ,Кассетный,Прямоугольное,https://rkcdn.ru/products/47bc76f6-e1c1-11ed-b733-005056013a69/src.jpg
FBCr 250 Фильтр-бокс (корпус с материалом) SHUFT,,RUB,4340.0,1,1,,"<p>Купить FBCr 250 Фильтр-бокс (корпус с материалом) SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на FBCr 250 Фильтр-бокс (корпус с материалом) SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим FBCr 250 Фильтр-бокс (корпус с материалом) SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Воздушный фильтр предназначен для очистки от&nbsp;пыли наружного и&nbsp;рециркуляционного воздуха в&nbsp;системах приточной и&nbsp;вытяжной вентиляции. Фильтруемый воздух не&nbsp;должен содержать агрессивных газов и&nbsp;паров. Корпус фильтра выполнен из&nbsp;оцинкованной стали. В&nbsp;качестве фильтрующих вставок используется синтетический материал с&nbsp;классом очистки G3(EU3). Корпус фильтра снабжен круглыми патрубками с&nbsp;резиновыми уплотнителями для подсоединения к&nbsp;другим элементам системы. Фильтр может устанавливаться вертикально или горизонтально.</p>

<p>Примечание: По&nbsp;запросу может быть изготовлен фильтр для круглых каналов карманного типа, любого класса очистки.</p>

<p>Гарантия&nbsp;&mdash; 12&nbsp;месяцев.</p>",,1,,Купить FBCr 250 Фильтр-бокс (корпус с материалом) SHUFT с доставкой на uralenergotel.ru,Купить FBCr 250 Фильтр-бокс (корпус с материалом) SHUFT по низкой цене у официального дилера ТД УЭТ,fbcr_250,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,SHA-D,FBCr 250,3.68,31.4,250,34.4,25,250,,31.4,34.4,25,3.18,РОССИЯ,,,https://rkcdn.ru/products/abdacf4a-e1ce-11ed-b733-005056013a69/src.jpg
FBCr 315 Фильтр-бокс (корпус с материалом) SHUFT,,RUB,5520.0,1,1,,"<p>Купить FBCr 315 Фильтр-бокс (корпус с материалом) SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на FBCr 315 Фильтр-бокс (корпус с материалом) SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим FBCr 315 Фильтр-бокс (корпус с материалом) SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Воздушный фильтр предназначен для очистки от&nbsp;пыли наружного и&nbsp;рециркуляционного воздуха в&nbsp;системах приточной и&nbsp;вытяжной вентиляции. Фильтруемый воздух не&nbsp;должен содержать агрессивных газов и&nbsp;паров. Корпус фильтра выполнен из&nbsp;оцинкованной стали. В&nbsp;качестве фильтрующих вставок используется синтетический материал с&nbsp;классом очистки G3(EU3). Корпус фильтра снабжен круглыми патрубками с&nbsp;резиновыми уплотнителями для подсоединения к&nbsp;другим элементам системы. Фильтр может устанавливаться вертикально или горизонтально.</p>

<p>Примечание: По&nbsp;запросу может быть изготовлен фильтр для круглых каналов карманного типа, любого класса очистки.</p>

<p>Гарантия&nbsp;&mdash; 12&nbsp;месяцев.</p>",,1,,Купить FBCr 315 Фильтр-бокс (корпус с материалом) SHUFT с доставкой на uralenergotel.ru,Купить FBCr 315 Фильтр-бокс (корпус с материалом) SHUFT по низкой цене у официального дилера ТД УЭТ,fbcr_315,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,SHA-D,FBCr 315,5.04,40,315,46,25,315,,40,46,25,4.54,РОССИЯ,,,https://rkcdn.ru/products/abdacf48-e1ce-11ed-b733-005056013a69/src.jpg
FRr (G3-EU3) 1000*500 Фильтр карманный (материал) SHUFT,,RUB,3980.0,1,1,,"<p>Купить FRr (G3-EU3) 1000*500 Фильтр карманный (материал) SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на FRr (G3-EU3) 1000*500 Фильтр карманный (материал) SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим FRr (G3-EU3) 1000*500 Фильтр карманный (материал) SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Фильтрующие вставки SHUFT серии FRr к карманным фильтрам FBR изготавливаются из нетканого материала с классом очистки G3 (EU3). Для простоты обслуживания фильтрующие вставки устанавливаются в направляющих.</p>",,1,,Купить FRr (G3-EU3) 1000*500 Фильтр карманный (материал) SHUFT с доставкой на uralenergotel.ru,Купить FRr (G3-EU3) 1000*500 Фильтр карманный (материал) SHUFT по низкой цене у официального дилера ТД УЭТ,frr_g3_eu3_1000x500,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,SHA-D,FRr (G3-EU3) 1000*500,4.02,7,1000*500,100,50,1000,,7,100,50,3.52,,,,https://rkcdn.ru/products/5c7e752c-e1ce-11ed-b733-005056013a69/src.jpg
FRr (G3-EU3) 300*150 Фильтр карманный (материал) SHUFT,,RUB,4840.0,1,1,,"<p>Купить FRr (G3-EU3) 300*150 Фильтр карманный (материал) SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на FRr (G3-EU3) 300*150 Фильтр карманный (материал) SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим FRr (G3-EU3) 300*150 Фильтр карманный (материал) SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Фильтрующие вставки SHUFT серии FRr к карманным фильтрам FBR изготавливаются из нетканого материала с классом очистки G3 (EU3). Для простоты обслуживания фильтрующие вставки устанавливаются в направляющих.</p>",,1,,Купить FRr (G3-EU3) 300*150 Фильтр карманный (материал) SHUFT с доставкой на uralenergotel.ru,Купить FRr (G3-EU3) 300*150 Фильтр карманный (материал) SHUFT по низкой цене у официального дилера ТД УЭТ,frr_g3_eu3_300x150,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,SHA-D,FRr (G3-EU3) 300*150,1.02,18,300*150,33,60,300,,18,33,60,0.52,,,,https://rkcdn.ru/products/5c7e7526-e1ce-11ed-b733-005056013a69/src.jpg
FRr (G3-EU3) 400*200 Фильтр карманный (материал) SHUFT,,RUB,1030.0,0,1,,"<p>Купить FRr (G3-EU3) 400*200 Фильтр карманный (материал) SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на FRr (G3-EU3) 400*200 Фильтр карманный (материал) SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим FRr (G3-EU3) 400*200 Фильтр карманный (материал) SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Фильтрующие вставки SHUFT серии FRr к карманным фильтрам FBR изготавливаются из нетканого материала с классом очистки G3 (EU3). Для простоты обслуживания фильтрующие вставки устанавливаются в направляющих.</p>",,1,,Купить FRr (G3-EU3) 400*200 Фильтр карманный (материал) SHUFT с доставкой на uralenergotel.ru,Купить FRr (G3-EU3) 400*200 Фильтр карманный (материал) SHUFT по низкой цене у официального дилера ТД УЭТ,frr_g3_eu3_400x200,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,SHA-D,FRr (G3-EU3) 400*200,1.32,3.5,400*200,40,37,400,,3.5,40,37,0.82,,,,https://rkcdn.ru/products/5c7e7524-e1ce-11ed-b733-005056013a69/src.jpg
FRr (G3-EU3) 500*250 Фильтр карманный (материал) SHUFT,,RUB,1380.0,1,1,,"<p>Купить FRr (G3-EU3) 500*250 Фильтр карманный (материал) SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на FRr (G3-EU3) 500*250 Фильтр карманный (материал) SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим FRr (G3-EU3) 500*250 Фильтр карманный (материал) SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Фильтрующие вставки SHUFT серии FRr к карманным фильтрам FBR изготавливаются из нетканого материала с классом очистки G3 (EU3). Для простоты обслуживания фильтрующие вставки устанавливаются в направляющих.</p>",,1,,Купить FRr (G3-EU3) 500*250 Фильтр карманный (материал) SHUFT с доставкой на uralenergotel.ru,Купить FRr (G3-EU3) 500*250 Фильтр карманный (материал) SHUFT по низкой цене у официального дилера ТД УЭТ,frr_g3_eu3_500x250,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,SHA-D,FRr (G3-EU3) 500*250,1.62,5,500*250,50,25,500,,5,50,25,1.12,,,,https://rkcdn.ru/products/5c7e752a-e1ce-11ed-b733-005056013a69/src.jpg
FRr (G3-EU3) 500*300 Фильтр карманный (материал) SHUFT,,RUB,1670.0,1,1,,"<p>Купить FRr (G3-EU3) 500*300 Фильтр карманный (материал) SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на FRr (G3-EU3) 500*300 Фильтр карманный (материал) SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим FRr (G3-EU3) 500*300 Фильтр карманный (материал) SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Фильтрующие вставки SHUFT серии FRr к карманным фильтрам FBR изготавливаются из нетканого материала с классом очистки G3 (EU3). Для простоты обслуживания фильтрующие вставки устанавливаются в направляющих.</p>",,1,,Купить FRr (G3-EU3) 500*300 Фильтр карманный (материал) SHUFT с доставкой на uralenergotel.ru,Купить FRr (G3-EU3) 500*300 Фильтр карманный (материал) SHUFT по низкой цене у официального дилера ТД УЭТ,frr_g3_eu3_500x300,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,SHA-D,FRr (G3-EU3) 500*300,1.74,7,500*300,50,30,500,,7,50,30,1.24,,,,https://rkcdn.ru/products/5c7e7528-e1ce-11ed-b733-005056013a69/src.jpg
FRr (G3-EU3) 600*300 Фильтр карманный (материал) SHUFT,,RUB,1820.0,1,1,,"<p>Купить FRr (G3-EU3) 600*300 Фильтр карманный (материал) SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на FRr (G3-EU3) 600*300 Фильтр карманный (материал) SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим FRr (G3-EU3) 600*300 Фильтр карманный (материал) SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Фильтрующие вставки SHUFT серии FRr к карманным фильтрам FBR изготавливаются из нетканого материала с классом очистки G3 (EU3). Для простоты обслуживания фильтрующие вставки устанавливаются в направляющих.</p>",,1,,Купить FRr (G3-EU3) 600*300 Фильтр карманный (материал) SHUFT с доставкой на uralenergotel.ru,Купить FRr (G3-EU3) 600*300 Фильтр карманный (материал) SHUFT по низкой цене у официального дилера ТД УЭТ,frr_g3_eu3_600x300,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,SHA-D,FRr (G3-EU3) 600*300,1.92,7,600*300,60,30,600,,7,60,30,1.42,,,,https://rkcdn.ru/products/5c7e7522-e1ce-11ed-b733-005056013a69/src.jpg
FRr (G3-EU3) 600*350 Фильтр карманный (материал) SHUFT,,RUB,1980.0,1,1,,"<p>Купить FRr (G3-EU3) 600*350 Фильтр карманный (материал) SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на FRr (G3-EU3) 600*350 Фильтр карманный (материал) SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим FRr (G3-EU3) 600*350 Фильтр карманный (материал) SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Фильтрующие вставки SHUFT серии FRr к карманным фильтрам FBR изготавливаются из нетканого материала с классом очистки G3 (EU3). Для простоты обслуживания фильтрующие вставки устанавливаются в направляющих.</p>",,1,,Купить FRr (G3-EU3) 600*350 Фильтр карманный (материал) SHUFT с доставкой на uralenergotel.ru,Купить FRr (G3-EU3) 600*350 Фильтр карманный (материал) SHUFT по низкой цене у официального дилера ТД УЭТ,frr_g3_eu3_600x350,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,SHA-D,FRr (G3-EU3) 600*350,2.1,7,600*350,60,35,600,,7,60,35,1.6,,,,https://rkcdn.ru/products/5c7e7520-e1ce-11ed-b733-005056013a69/src.jpg
FRr (G3-EU3) 700*400 Фильтр карманный (материал) SHUFT,,RUB,2200.0,1,1,,"<p>Купить FRr (G3-EU3) 700*400 Фильтр карманный (материал) SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на FRr (G3-EU3) 700*400 Фильтр карманный (материал) SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим FRr (G3-EU3) 700*400 Фильтр карманный (материал) SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Фильтрующие вставки SHUFT серии FRr к карманным фильтрам FBR изготавливаются из нетканого материала с классом очистки G3 (EU3). Для простоты обслуживания фильтрующие вставки устанавливаются в направляющих.</p>",,1,,Купить FRr (G3-EU3) 700*400 Фильтр карманный (материал) SHUFT с доставкой на uralenergotel.ru,Купить FRr (G3-EU3) 700*400 Фильтр карманный (материал) SHUFT по низкой цене у официального дилера ТД УЭТ,frr_g3_eu3_700x400,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,SHA-D,FRr (G3-EU3) 700*400,2.68,7,700*400,69.5,40,700,,7,69.5,40,2.18,,,,https://rkcdn.ru/products/55fcfb37-e1ce-11ed-b733-005056013a69/src.jpg
FRr (G3-EU3) 800*500 Фильтр карманный (материал) SHUFT,,RUB,2660.0,1,1,,"<p>Купить FRr (G3-EU3) 800*500 Фильтр карманный (материал) SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на FRr (G3-EU3) 800*500 Фильтр карманный (материал) SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим FRr (G3-EU3) 800*500 Фильтр карманный (материал) SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Фильтрующие вставки SHUFT серии FRr к карманным фильтрам FBR изготавливаются из нетканого материала с классом очистки G3 (EU3). Для простоты обслуживания фильтрующие вставки устанавливаются в направляющих.</p>",,1,,Купить FRr (G3-EU3) 800*500 Фильтр карманный (материал) SHUFT с доставкой на uralenergotel.ru,Купить FRr (G3-EU3) 800*500 Фильтр карманный (материал) SHUFT по низкой цене у официального дилера ТД УЭТ,frr_g3_eu3_800x500,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,SHA-D,FRr (G3-EU3) 800*500,3.48,10,800*500,50,81,800,,10,50,81,2.98,,,,https://rkcdn.ru/products/55fcfb31-e1ce-11ed-b733-005056013a69/src.jpg
